Strategy,Rules,Decision,Action A,Action B,Player Value,Dealer Upcard,Deviation TC,Total Hands,Notes
RPCStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,5,8.5,41922187,
RPCStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,6,8.5,41891193,
RPCStrategy,S17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,4.8,1996869952,Consolidated across all player hands
RPCStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,5,8.5,42080818,
RPCStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,6,8.6,42052139,
WongHalvesStrategy,H17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,21.3,1998787349,Consolidated across all player hands
WongHalvesStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,5,23.4,42102757,
WongHalvesStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,6,23.2,42055544,
WongHalvesStrategy,S17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,21.3,2005348991,Consolidated across all player hands
WongHalvesStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,5,24.5,42257170,
WongHalvesStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,6,22.9,42208179,
ZenCountStrategy,H17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,4.4,1988570589,Consolidated across all player hands
ZenCountStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,5,8.1,41891750,
ZenCountStrategy,H17,Split_vs_Stand_Pair10s,Split,Stand,20,6,7.5,41865887,
ZenCountStrategy,S17,InsuranceAccept_vs_Decline,Insurance,Decline,ALL,11,4.4,1995133845,Consolidated across all player hands
ZenCountStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,5,7.7,42052994,
ZenCountStrategy,S17,Split_vs_Stand_Pair10s,Split,Stand,20,6,7.7,42015399,
